0,0,0,0,0,0,0.000000000
-0.0965449,0.119217,0.0358636,-0.00557118,0.0322185,-0.0345885,0.000000000
-0.19309,0.238434,0.0717272,-0.0111424,0.064437,-0.069177,0.000000000
-0.289635,0.357651,0.107591,-0.0167135,0.0966555,-0.103766,0.000000000
-0.38618,0.476867,0.143454,-0.0222847,0.128874,-0.138354,0.000000000
-0.482725,0.596084,0.179318,-0.0278559,0.161092,-0.172943,0.000000000
-0.57927,0.715301,0.215182,-0.0334271,0.193311,-0.207531,0.000000000
-0.687018,0.820159,0.252396,-0.0361211,0.235248,-0.230959,0.000000000
-0.794766,0.925018,0.28961,-0.0388152,0.277184,-0.254386,0.000000000
-0.902514,1.02988,0.326823,-0.0415093,0.319121,-0.277814,0.000000000
-1.01026,1.13473,0.364037,-0.0442034,0.361058,-0.301242,0.000000000
-1.11801,1.23959,0.401251,-0.0468975,0.402994,-0.324669,0.000000000
-1.22576,1.34445,0.438465,-0.0495916,0.444931,-0.348097,0.000000000
-1.42099,1.45866,0.498337,-0.0450015,0.53699,-0.349756,0.000000000
-1.61622,1.57287,0.558208,-0.0404114,0.62905,-0.351414,0.000000000
-1.74638,1.64902,0.598123,-0.0373513,0.690423,-0.35252,0.000000000
-1.87653,1.72516,0.638037,-0.0342912,0.751796,-0.353626,0.000000000
-2.00668,1.8013,0.677952,-0.0312312,0.813169,-0.354732,0.000000000
-2.21872,1.89397,0.739849,-0.0223254,0.919806,-0.339649,0.000000000
-2.43076,1.98665,0.801746,-0.0134197,1.02644,-0.324566,0.000000000
-2.64279,2.07932,0.863643,-0.00451394,1.13308,-0.309484,0.000000000
-2.85483,2.17199,0.92554,0.0043918,1.23972,-0.294401,0.000000000
