0,0,0,0,0,0,0.000000000
-0.111658,0.0738761,0.10716,-0.0166082,0.141593,-0.0502194,0.000000000
-0.223189,0.147674,0.214152,-0.0331841,0.282899,-0.100374,0.000000000
-0.334462,0.221314,0.320809,-0.0496952,0.423633,-0.150398,0.000000000
-0.44535,0.294719,0.426963,-0.0661093,0.563506,-0.200228,0.000000000
-0.555725,0.367809,0.532446,-0.0823939,0.702234,-0.249798,0.000000000
-0.665459,0.440507,0.63709,-0.0985168,0.839529,-0.299043,0.000000000
-0.774422,0.512733,0.740728,-0.114445,0.975105,-0.347898,0.000000000
-0.882487,0.584409,0.843192,-0.130148,1.10868,-0.396299,0.000000000
-0.989525,0.655457,0.944315,-0.145591,1.23995,-0.44418,0.000000000
-1.09541,0.725798,1.04393,-0.160743,1.36865,-0.491476,0.000000000
-1.20001,0.795353,1.14186,-0.175571,1.49449,-0.538123,0.000000000
-1.30319,0.864043,1.23795,-0.190044,1.61717,-0.584055,0.000000000
-1.40484,0.931791,1.33203,-0.204128,1.73641,-0.629208,0.000000000
-1.50482,0.998518,1.42393,-0.217791,1.85193,-0.673517,0.000000000
-1.603,1.06414,1.51348,-0.231002,1.96344,-0.716916,0.000000000
-1.69926,1.12859,1.60052,-0.243727,2.07065,-0.759341,0.000000000
-1.79346,1.19178,1.68487,-0.255934,2.17327,-0.800726,0.000000000
-1.88549,1.25364,1.76637,-0.267591,2.27103,-0.841008,0.000000000
-1.9752,1.31408,1.84485,-0.278666,2.36362,-0.88012,0.000000000
-2.06247,1.37303,1.92014,-0.289126,2.45078,-0.917998,0.000000000
-2.14718,1.43041,1.99208,-0.298938,2.5322,-0.954577,0.000000000
-2.22919,1.48613,2.0605,-0.308072,2.6076,-0.989792,0.000000000
-2.30837,1.54013,2.12523,-0.316493,2.6767,-1.02358,0.000000000
-2.38461,1.59232,2.1861,-0.32417,2.73922,-1.05587,0.000000000
-2.45776,1.64263,2.24294,-0.33107,2.79485,-1.0866,0.000000000
-2.52771,1.69097,2.2956,-0.337161,2.84332,-1.11571,0.000000000
-2.59432,1.73727,2.34389,-0.342411,2.88434,-1.14313,0.000000000
-2.65746,1.78145,2.38765,-0.346787,2.91763,-1.1688,0.000000000
-2.71701,1.82343,2.42672,-0.350257,2.94289,-1.19265,0.000000000
-2.77288,1.86315,2.46097,-0.352798,2.95992,-1.21463,0.000000000
-2.8251,1.90065,2.49047,-0.354421,2.96884,-1.23477,0.000000000
-2.87377,1.93597,2.51533,-0.355149,2.96982,-1.25311,0.000000000
-2.91898,1.96916,2.53565,-0.355002,2.96305,-1.2697,0.000000000
-2.9608,2.00029,2.55155,-0.354003,2.94874,-1.28458,0.000000000
-2.99932,2.02939,2.56314,-0.352171,2.92706,-1.29778,0.000000000
-3.03463,2.05653,2.57053,-0.349529,2.8982,-1.30936,0.000000000
-3.06681,2.08176,2.57383,-0.346097,2.86235,-1.31936,0.000000000
-3.09594,2.10511,2.57315,-0.341898,2.81971,-1.32781,0.000000000
-3.12211,2.12666,2.5686,-0.336953,2.77046,-1.33477,0.000000000
-3.14541,2.14645,2.5603,-0.331282,2.71478,-1.34026,0.000000000
-3.16591,2.16452,2.54834,-0.324908,2.65288,-1.34435,0.000000000
-3.18371,2.18094,2.53285,-0.31785,2.58493,-1.34707,0.000000000
-3.19889,2.19576,2.51393,-0.310132,2.51112,-1.34846,0.000000000
-3.21152,2.20902,2.4917,-0.301774,2.43166,-1.34856,0.000000000
-3.22171,2.22078,2.46626,-0.292798,2.34671,-1.34743,0.000000000
-3.22952,2.23109,2.43772,-0.283224,2.25648,-1.34509,0.000000000
-3.23505,2.24,2.4062,-0.273074,2.16114,-1.3416,0.000000000
-3.23839,2.24756,2.37181,-0.26237,2.0609,-1.337,0.000000000
-3.2396,2.25383,2.33465,-0.251133,1.95594,-1.33133,0.000000000
-3.23879,2.25886,2.29484,-0.239383,1.84644,-1.32463,0.000000000
-3.23603,2.2627,2.25249,-0.227144,1.7326,-1.31694,0.000000000
-3.23141,2.26539,2.2077,-0.214435,1.61461,-1.30831,0.000000000
-3.22502,2.267,2.1606,-0.201278,1.49265,-1.29878,0.000000000
-3.21693,2.26758,2.11128,-0.187694,1.36691,-1.2884,0.000000000
-3.20723,2.26717,2.05986,-0.173706,1.23759,-1.27721,0.000000000
-3.19602,2.26583,2.00646,-0.159333,1.10486,-1.26524,0.000000000
-3.18336,2.26361,1.95117,-0.144598,0.96893,-1.25254,0.000000000
-3.16935,2.26056,1.89412,-0.129521,0.829974,-1.23916,0.000000000
-3.15407,2.25673,1.83541,-0.114125,0.688185,-1.22514,0.000000000
-3.13761,2.25218,1.77515,-0.0984302,0.543753,-1.21052,0.000000000
-3.12005,2.24695,1.71345,-0.082458,0.396865,-1.19534,0.000000000
-3.10147,2.2411,1.65043,-0.0662298,0.247711,-1.17965,0.000000000
-3.08197,2.23469,1.58619,-0.0497671,0.0964802,-1.16349,0.000000000
-3.06161,2.22775,1.52084,-0.033091,-0.0566395,-1.1469,0.000000000
-3.0405,2.22035,1.4545,-0.0162231,-0.211459,-1.12992,0.000000000
-3.01871,2.21254,1.38728,0.000815557,-0.367789,-1.1126,0.000000000
-2.99632,2.20436,1.31928,0.0180035,-0.525441,-1.09499,0.000000000
-2.97343,2.19587,1.25062,0.0353193,-0.684226,-1.07711,0.000000000
-2.95012,2.18713,1.18141,0.0527419,-0.843955,-1.05902,0.000000000
-2.92646,2.17817,1.11175,0.0702497,-1.00444,-1.04076,0.000000000
